time,pos_out[1],pos_out[2],pos_out[3],RPY_out[1],RPY_out[2],RPY_out[3],f_in[1],f_in[2],f_in[3],t_in[1],t_in[2],t_in[3],
0.735,0.7153952306984627,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.74,0.7251951653655649,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.745,0.7350617662548924,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.744995033366445,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.755,0.7549949667002228,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.76,0.7650615662562258,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.765,0.7751948320344539,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.77,0.7853947640349073,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.775,0.7956613622575858,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.78,0.8059946267024894,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.785,0.8163945573696184,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.79,0.8268611542589726,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.795,0.8373944173705519,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,0.8479943467043564,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.805,0.858660942260386,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.81,0.8693942040386409,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8150000000000001,0.8801941320391209,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8200000000000001,0.8910607262618261,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8250000000000001,0.9019939867067565,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8300000000000001,0.912993913373912,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.835,0.9240605062632925,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.84,0.9351937653748985,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.845,0.9463936907087297,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.85,0.9576602822647861,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.855,0.9689935400430676,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.86,0.9803934640435743,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.865,0.9918600542663062,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.87,1.0033933107112634,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.875,1.0149932333784457,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.88,1.0266598222678531,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.885,1.0383930773794858,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.89,1.0501929987133436,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.895,1.0620595862694266,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,1.0739928400477348,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.905,1.0859927600482682,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.91,1.0980593462710266,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.915,1.1101925987160104,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.92,1.1223925173832192,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.925,1.1346591022726533,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.93,1.1469923533843127,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.935,1.1593922707181972,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9400000000000001,1.171858854274307,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9450000000000001,1.1843921040526417,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,1.1969920200532018,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9550000000000001,1.209658602275987,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.96,1.2223918507209972,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.965,1.2351917653882327,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.97,1.2480583462776935,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.975,1.2609915933893794,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.98,1.2739915067232905,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.985,1.287058086279427,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.99,1.3001913320577885,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.995,1.3133912440583753,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.3266578222811871,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0050000000000001,1.3399910667262245,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.01,1.3533909773934865,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0150000000000001,1.3668575542829742,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.02,1.3803907973946865,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.025,1.3939907067286241,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.03,1.4076572822847875,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.035,1.4213905240631755,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.04,1.4351904320637892,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
