time,pos_out[1],pos_out[2],pos_out[3],RPY_out[1],RPY_out[2],RPY_out[3],f_in[1],f_in[2],f_in[3],t_in[1],t_in[2],t_in[3],
4.749569408858554e-05,2.6118868649538476e-09,-9.269200637748981e-18,0.1,-0.0,-0.0,-4.635113019007752e-10,-85.4573502868916,-13.091571579486093,-2285.931033259291,-1.309157187782847,-45.94668589398786,-8299.275050936627,
5.8193810786210655e-05,3.942645043340785e-09,-5.1646330346406206e-18,0.1,-0.0,-0.0,3.0843827750009865e-09,-75.3525396182679,-1.5383440852347807,-2297.3673222105836,-0.15383442892552723,-43.02896851616072,2623.678983761192,
7.103155082336079e-05,5.8988922441297275e-09,-4.436229704138748e-18,0.1,-0.0,-0.0,3.723472832104821e-10,-83.63093713957981,1.055872601337684,-2290.68147204246,0.10558741783041369,-41.59303512738699,-1273.2465239908472,
8.643604726997351e-05,8.762596096707294e-09,-3.624305096656668e-18,0.1,-0.0,-0.0,2.8352254607308014e-10,-81.82731929896192,1.1832612730813832,-2293.766126026605,0.11832615051681042,-42.44163262672255,1779.1126071028061,
0.00010492144300590877,1.294285699469297e-08,-1.2129472650627892e-17,0.1,-0.0,-0.0,-2.0346020886087695e-09,-81.69682599600944,0.9319309104916511,-2297.7186990848018,0.09319310957494477,-39.506250753920355,-530.5058948307156,
0.00012710555994061766,1.90307518019381e-08,-1.432139040563468e-17,0.1,-0.0,-0.0,-3.600452741723154e-10,-82.58473756843627,1.4665232291031594,-2290.820072530364,0.1466522236783487,-43.43479874851015,279.32206299842863,
0.00015372413521781898,2.7877747104930735e-08,-1.661648128265666e-17,0.1,-0.0,-0.0,-2.594203792835318e-10,-82.57096193619398,-0.42679854420124697,-2291.177614370173,-0.042679865794745614,-43.212164205245706,-380.6394496148242,
0.00018566472250661686,4.0713993178722586e-08,3.123922270215614e-19,0.1,-0.0,-0.0,1.3188336693110314e-09,-82.16350418622838,2.222986080399629,-2291.4930932729612,0.22229860323528935,-42.828129195311384,108.67760304209577,
0.00022399588044728252,5.931624262752434e-08,7.096105148937744e-18,0.1,-0.0,-0.0,3.646716457913723e-10,-81.90616691934149,0.562470475002213,-2291.7724793513567,0.05624712493713854,-42.907103131035626,-61.69938129717809,
0.00026999680443047877,8.624639464560985e-08,1.8222007500040293e-17,0.1,-0.0,-0.0,4.131392330659963e-10,-81.78184314868302,1.08905956520324,-2291.9429096143476,0.10890598718474845,-42.618395033836265,81.5179920384157,
0.00032518773038264786,1.251883741380281e-07,-3.261710779069733e-19,0.1,-0.0,-0.0,-4.763029209020687e-10,-81.78617758553608,0.7191682709677785,-2292.0543414267195,0.07191686262821367,-42.75274908745009,-22.697624680994913,
0.00039141684152525075,1.8146670939577148e-07,1.6564433571160236e-17,0.1,-0.0,-0.0,3.001262310214341e-10,-81.9125032275645,0.9941102239300279,-2292.102457015787,0.09941101542963748,-42.937901774878405,13.684042023232308,
0.0004709129174697637,2.627709541043681e-07,5.930226798123368e-17,0.1,-0.0,-0.0,5.256531754676598e-10,-81.71915967547112,0.9609828648793043,-2292.1535855851093,0.09609832265433592,-42.842113510700514,-17.495631698678327,
0.0005663386960723814,3.801830834165691e-07,2.325643697916615e-16,0.1,-0.0,-0.0,1.475674641328757e-09,-81.63025577182536,1.0090763930492281,-2292.1521105264137,0.10090769108732794,-42.762769473777006,4.807931404271131,
0.0006808936054087035,5.496873053424651e-07,4.891051658790514e-16,0.1,-0.0,-0.0,1.5134773232937208e-09,-81.65529719124596,0.9871306035034416,-2292.1729084254193,0.09871316555700729,-42.78533058632036,-2.9936132880299042,
0.0008182644302974881,7.940587907241632e-07,1.0066409027633442e-15,0.1,-0.0,-0.0,2.117823755402245e-09,-81.65179054131029,1.0219935479729976,-2292.208324808426,0.10219946791104578,-42.77525119071294,3.754536147903234,
0.0009830181438684226,1.1462627672694523e-06,1.9100375418436056e-15,0.1,-0.0,-0.0,2.564981372276174e-09,-82.23248255130427,1.0095004954426436,-2292.2690894403927,0.10095020147683652,-43.09934713842488,-1.001689104588323,
0.0011806568302080065,1.6538125051192098e-06,3.966398471101974e-15,0.1,-0.0,-0.0,4.051545643526827e-09,-81.86935100080538,1.0402528397688742,-2292.3261253221617,0.10402546686069268,-42.88216635167799,0.6511834763833771,
0.0014176336723418002,2.3847236841635804e-06,8.232772559770305e-15,0.1,-0.0,-0.0,5.83706230112173e-09,-81.7868809739734,1.0350757437541664,-2292.437813173896,0.10350784340130173,-42.83951473774411,-0.8092193839581754,
0.0017017327107500372,3.436835563629162e-06,1.7359141492386578e-14,0.1,-0.0,-0.0,8.674333130096388e-09,-82.10936968708441,1.0564213766247954,-2292.5605836073887,0.1056425114543303,-43.00759751309902,0.18908884726482267,
0.0020430461388377106,4.9540996521379534e-06,3.588408331633062e-14,0.1,-0.0,-0.0,1.2209438003736617e-08,-82.0739919050678,1.0603785242957613,-2292.766228937517,0.10603838637588482,-42.984131007321444,-0.16440979969036545,
0.002452907870474373,7.141473007635429e-06,7.420267386381615e-14,0.1,-0.0,-0.0,1.7518084167561198e-08,-80.91539994756359,1.0799763060934613,-2293.011523915857,0.10799835427913489,-42.334166382241825,0.138641571084051,
0.0029455699519366236,1.0298306205174815e-05,1.5310649233291525e-13,0.1,-0.0,-0.0,2.49946112232351e-08,-81.77621481361459,1.086479826624189,-2293.36017581086,0.10864900580972017,-42.81749757770601,-0.08208261367981975,
0.003537365257107742,1.4851936197829584e-05,3.1769492800297364e-13,0.1,-0.0,-0.0,3.614444650433777e-08,-81.14747970394794,1.0939717773408137,-2293.8194293597753,0.10939859761940948,-42.45950544890891,-0.02766578101645194,
0.004246649336099597,2.140621650828718e-05,6.592498708229503e-13,0.1,-0.0,-0.0,5.211173868700928e-08,-81.83569460875339,1.0832833109822055,-2294.4089095757754,0.1083303618367909,-42.83408638965746,-0.10863549364436101,
0.005094024120735884,3.0806495668004745e-05,1.3659901230391942e-12,0.1,-0.0,-0.0,7.518290044457329e-08,-82.87725279808693,1.0500342344366063,-2295.1421987233357,0.10500633901040632,-43.38783141738285,-0.08752869851139482,
0.006114518485029047,4.438544517621963e-05,2.831077792563701e-12,0.1,-0.0,-0.0,1.0789403617990949e-07,-84.02799456900637,0.981070318834973,-2296.0023463293383,0.09811123460049076,-43.98904292642998,-0.11775793901467885,
0.007333810452755942,6.385800154902603e-05,5.8415784101360266e-12,0.1,-0.0,-0.0,1.5460222889771644e-07,-78.82889383022757,0.8760012704433039,-2296.9767942837857,0.08760572082361004,-41.08867125110809,-0.09977179690786213,
0.008804702350331244,9.203694741136744e-05,1.203664715588456e-11,0.1,-0.0,-0.0,2.1984742708305416e-07,-85.45968775182,0.7382473832928081,-2298.065443908147,0.07383334024950475,-44.76381494699541,-0.13434024455119065,
0.010558458074363336,0.0001323668029807885,2.457050692686919e-11,0.1,-0.0,-0.0,3.1078365131780114e-07,-78.04744030432474,0.567056012810775,-2299.21956606722,0.056716661193128785,-40.62795289178899,-0.11012353468444966,
